,Date,Domain,Current DB Limit,Warm Up Activity,Hike,Current DB Limit+ Warm Up Activity,Column F * Hike,Next Day Limit
0,2023-01-01,xyz.com,100.0,90,0.1,190.0,19.0,119.0
1,2023-01-01,yyy.com,90.0,80,0.1,170.0,17.0,107.0
2,2023-01-01,ggg.com,400.0,250,0.1,650.0,65.0,465.0
3,2023-01-02,xyz.com,119.0,90,0.1,209.0,20.900000000000002,139.9
4,2023-01-02,yyy.com,107.0,80,0.1,187.0,18.7,125.7
5,2023-01-02,ggg.com,465.0,250,0.1,715.0,71.5,536.5
6,2023-01-03,xyz.com,139.9,90,0.1,229.9,22.990000000000002,162.89000000000001
7,2023-01-03,yyy.com,125.7,80,0.1,205.7,20.57,146.27
8,2023-01-03,ggg.com,536.5,250,0.1,786.5,78.65,615.15
9,2023-01-04,xyz.com,162.89000000000001,90,0.1,252.89000000000001,25.289,188.17900000000003
10,2023-01-04,yyy.com,146.27,80,0.1,226.27,22.627000000000002,168.89700000000002
11,2023-01-04,ggg.com,615.15,250,0.1,865.15,86.515,701.665
12,2023-01-05,xyz.com,188.17900000000003,90,0.1,278.17900000000003,27.817900000000005,215.99690000000004
13,2023-01-05,yyy.com,168.89700000000002,80,0.1,248.89700000000002,24.889700000000005,193.78670000000002
14,2023-01-05,ggg.com,701.665,250,0.1,951.665,95.1665,796.8315
15,2023-01-06,xyz.com,215.99690000000004,90,0.1,305.99690000000004,30.599690000000006,246.59659000000005
16,2023-01-06,yyy.com,193.78670000000002,80,0.1,273.7867,27.37867,221.16537000000002
17,2023-01-06,ggg.com,796.8315,250,0.1,1046.8315,104.68315000000001,901.5146500000001
18,2023-01-07,xyz.com,246.59659000000005,90,0.1,336.59659000000005,33.659659000000005,280.256249
19,2023-01-07,yyy.com,221.16537000000002,80,0.1,301.16537000000005,30.116537000000008,251.28190700000005
20,2023-01-07,ggg.com,901.5146500000001,250,0.1,1151.51465,115.15146500000002,1016.6661150000001
21,2023-01-08,xyz.com,280.256249,90,0.1,370.256249,37.025624900000004,317.28187390000005
22,2023-01-08,yyy.com,251.28190700000005,80,0.1,331.28190700000005,33.128190700000005,284.41009770000005
23,2023-01-08,ggg.com,1016.6661150000001,250,0.1,1266.666115,126.6666115,1143.3327265
24,2023-01-09,xyz.com,317.28187390000005,90,0.1,407.28187390000005,40.72818739000001,358.01006129000007
25,2023-01-09,yyy.com,284.41009770000005,80,0.1,364.41009770000005,36.44100977000001,320.85110747000004
26,2023-01-09,ggg.com,1143.3327265,250,0.1,1393.3327265,139.33327265,1282.66599915
27,2023-01-10,xyz.com,358.01006129000007,90,0.1,448.01006129000007,44.80100612900001,402.8110674190001
28,2023-01-10,yyy.com,320.85110747000004,80,0.1,400.85110747000004,40.08511074700001,360.93621821700003
29,2023-01-10,ggg.com,1282.66599915,250,0.1,1532.66599915,153.266599915,1435.932599065
30,2023-01-11,xyz.com,402.8110674190001,90,0.1,492.8110674190001,49.28110674190001,452.09217416090013
31,2023-01-11,yyy.com,360.93621821700003,80,0.1,440.93621821700003,44.093621821700005,405.02984003870006
32,2023-01-11,ggg.com,1435.932599065,250,0.1,1685.932599065,168.5932599065,1604.5258589715
33,2023-01-12,xyz.com,452.09217416090013,90,0.1,542.0921741609002,54.20921741609002,506.30139157699017
34,2023-01-12,yyy.com,405.02984003870006,80,0.1,485.02984003870006,48.50298400387001,453.53282404257004
35,2023-01-12,ggg.com,1604.5258589715,250,0.1,1854.5258589715,185.45258589715002,1789.97844486865
36,2023-01-13,xyz.com,506.30139157699017,90,0.1,596.3013915769902,59.63013915769903,565.9315307346892
37,2023-01-13,yyy.com,453.53282404257004,80,0.1,533.53282404257,53.35328240425701,506.88610644682706
38,2023-01-13,ggg.com,1789.97844486865,250,0.1,2039.97844486865,203.997844486865,1993.976289355515
39,2023-01-14,xyz.com,565.9315307346892,90,0.1,655.9315307346892,65.59315307346893,631.5246838081581
40,2023-01-14,yyy.com,506.88610644682706,80,0.1,586.8861064468271,58.68861064468271,565.5747170915098
41,2023-01-14,ggg.com,1993.976289355515,250,0.1,2243.9762893555153,224.39762893555155,2218.3739182910667
42,2023-01-15,xyz.com,631.5246838081581,90,0.1,721.5246838081581,72.15246838081582,703.6771521889739
43,2023-01-15,yyy.com,565.5747170915098,80,0.1,645.5747170915098,64.55747170915099,630.1321888006607
44,2023-01-15,ggg.com,2218.3739182910667,250,0.1,2468.3739182910667,246.83739182910668,2465.2113101201735
45,2023-01-16,xyz.com,703.6771521889739,90,0.1,793.6771521889739,79.36771521889739,783.0448674078713
46,2023-01-16,yyy.com,630.1321888006607,80,0.1,710.1321888006607,71.01321888006608,701.1454076807269
47,2023-01-16,ggg.com,2465.2113101201735,250,0.1,2715.2113101201735,271.52113101201735,2736.7324411321906
48,2023-01-17,xyz.com,783.0448674078713,90,0.1,873.0448674078713,87.30448674078713,870.3493541486584
49,2023-01-17,yyy.com,701.1454076807269,80,0.1,781.1454076807269,78.11454076807269,779.2599484487996
50,2023-01-17,ggg.com,2736.7324411321906,250,0.1,2986.7324411321906,298.6732441132191,3035.4056852454096
51,2023-01-18,xyz.com,870.3493541486584,90,0.1,960.3493541486584,96.03493541486586,966.3842895635244
52,2023-01-18,yyy.com,779.2599484487996,80,0.1,859.2599484487996,85.92599484487997,865.1859432936795
53,2023-01-18,ggg.com,3035.4056852454096,250,0.1,3285.4056852454096,328.54056852454096,3363.9462537699505
54,2023-01-19,xyz.com,966.3842895635244,90,0.1,1056.3842895635244,105.63842895635244,1072.022718519877
55,2023-01-19,yyy.com,865.1859432936795,80,0.1,945.1859432936795,94.51859432936796,959.7045376230475
56,2023-01-19,ggg.com,3363.9462537699505,250,0.1,3613.9462537699505,361.39462537699507,3725.3408791469456
57,2023-01-20,xyz.com,1072.022718519877,90,0.1,1162.022718519877,116.20227185198769,1188.2249903718646
58,2023-01-20,yyy.com,959.7045376230475,80,0.1,1039.7045376230476,103.97045376230477,1063.6749913853523
59,2023-01-20,ggg.com,3725.3408791469456,250,0.1,3975.3408791469456,397.53408791469457,4122.87496706164
60,2023-01-21,xyz.com,1188.2249903718646,90,0.1,1278.2249903718646,127.82249903718646,1316.047489409051
61,2023-01-21,yyy.com,1063.6749913853523,80,0.1,1143.6749913853523,114.36749913853524,1178.0424905238876
62,2023-01-21,ggg.com,4122.87496706164,250,0.1,4372.87496706164,437.287496706164,4560.162463767804
63,2023-01-22,xyz.com,1316.047489409051,90,0.1,1406.047489409051,140.6047489409051,1456.652238349956
64,2023-01-22,yyy.com,1178.0424905238876,80,0.1,1258.0424905238876,125.80424905238877,1303.8467395762764
65,2023-01-22,ggg.com,4560.162463767804,250,0.1,4810.162463767804,481.01624637678043,5041.178710144584
66,2023-01-23,xyz.com,1456.652238349956,90,0.1,1546.652238349956,154.6652238349956,1611.3174621849516
67,2023-01-23,yyy.com,1303.8467395762764,80,0.1,1383.8467395762764,138.38467395762765,1442.231413533904
68,2023-01-23,ggg.com,5041.178710144584,250,0.1,5291.178710144584,529.1178710144585,5570.296581159043
69,2023-01-24,xyz.com,1611.3174621849516,90,0.1,1701.3174621849516,170.13174621849518,1781.4492084034468
70,2023-01-24,yyy.com,1442.231413533904,80,0.1,1522.231413533904,152.22314135339042,1594.4545548872945
71,2023-01-24,ggg.com,5570.296581159043,250,0.1,5820.296581159043,582.0296581159043,6152.3262392749475
72,2023-01-25,xyz.com,1781.4492084034468,90,0.1,1871.4492084034468,187.1449208403447,1968.5941292437915
73,2023-01-25,yyy.com,1594.4545548872945,80,0.1,1674.4545548872945,167.44545548872946,1761.900010376024
74,2023-01-25,ggg.com,6152.3262392749475,250,0.1,6402.3262392749475,640.2326239274948,6792.558863202443
75,2023-01-26,xyz.com,1968.5941292437915,90,0.1,2058.5941292437915,205.85941292437917,2174.4535421681708
76,2023-01-26,yyy.com,1761.900010376024,80,0.1,1841.900010376024,184.19000103760243,1946.0900114136266
77,2023-01-26,ggg.com,6792.558863202443,250,0.1,7042.558863202443,704.2558863202444,7496.814749522688
78,2023-01-27,xyz.com,2174.4535421681708,90,0.1,2264.4535421681708,226.4453542168171,2400.898896384988
79,2023-01-27,yyy.com,1946.0900114136266,80,0.1,2026.0900114136266,202.60900114136268,2148.699012554989
80,2023-01-27,ggg.com,7496.814749522688,250,0.1,7746.814749522688,774.6814749522688,8271.496224474957
81,2023-01-28,xyz.com,2400.898896384988,90,0.1,2490.898896384988,249.0898896384988,2649.9887860234867
82,2023-01-28,yyy.com,2148.699012554989,80,0.1,2228.699012554989,222.86990125549892,2371.568913810488
83,2023-01-28,ggg.com,8271.496224474957,250,0.1,8521.496224474957,852.1496224474957,9123.645846922453
84,2023-01-29,xyz.com,2649.9887860234867,90,0.1,2739.9887860234867,273.99887860234867,2923.9876646258354
85,2023-01-29,yyy.com,2371.568913810488,80,0.1,2451.568913810488,245.1568913810488,2616.725805191537
86,2023-01-29,ggg.com,9123.645846922453,250,0.1,9373.645846922453,937.3645846922453,10061.010431614697
87,2023-01-30,xyz.com,2923.9876646258354,90,0.1,3013.9876646258354,301.3987664625835,3225.3864310884187
88,2023-01-30,yyy.com,2616.725805191537,80,0.1,2696.725805191537,269.6725805191537,2886.3983857106905
89,2023-01-30,ggg.com,10061.010431614697,250,0.1,10311.010431614697,1031.1010431614698,11092.111474776168
90,2023-01-31,xyz.com,3225.3864310884187,90,0.1,3315.3864310884187,331.5386431088419,3556.9250741972605
91,2023-01-31,yyy.com,2886.3983857106905,80,0.1,2966.3983857106905,296.63983857106905,3183.0382242817595
92,2023-01-31,ggg.com,11092.111474776168,250,0.1,11342.111474776168,1134.2111474776168,12226.322622253785
